     sbatch-job-name       sbatch-partition            sbatch-nodes     sbatch-ntasks-per-node     sbatch-qos          template        env-model         env-nblock       warmup   nbin_per_core   nmeas_per_bin    print_loop        lat_size       beta      filling          ep_parameter        omega          jump_distance   global_update_distance        global_update         BC_phase
    L16Oig58                  intel-sc3-32c           4                    32                  huge                EPSOC         EPSOC              8              6000        8              1000               500            (16,16)          104         0.5                [0.5:0.04:0.78]       100000         1               10.0                  .false.             0,0                    
    L16BCOig58                  intel-sc3-32c           4                    32                  huge                EPSOC         EPSOC              8              6000        8              1000               500            (16,16)          104         0.5                [0.5:0.04:0.78]     100000         1               10.0                  .false.             1,1                                        
    L14Oig58                  intel-sc3-32c           4                    32                  huge                EPSOC         EPSOC              8              6000        10              1000               300            (14,14)          100          0.5                [0.5:0.04:0.78]     100000         1               10.0                  .false.             0,0
    L12Oig58                  intel-sc3-32c           4                    32                  huge                EPSOC         EPSOC              8              8000        10              1000               400            (12,12)           96          0.5                [0.5:0.04:0.78]      100000        1                10.0                  .false.             0,0
    L10Oig58                  intel-sc3-32c           2                    32                  huge                EPSOC         EPSOC              8              10000        16            1000               600            (10,10)           88          0.5                [0.5:0.04:0.78]       100000        1               10.0                  .false.             0,0
    L8Oig58                   intel-sc3-32c            2                   32                  huge                EPSOC         EPSOC              8              20000        30            1000               500            (8,8)           80          0.5                 [0.5:0.04:0.78]       100000          1              10.0                  .false.             0,0
    L6Oig58                   intel-sc3-32c            2                   32                  huge                EPSOC         EPSOC              8              40000        60            1000               400            (6,6)           76          0.5                  [0.5:0.04:0.78]      100000         1              10.0                  .false.             0,0
    L14BCOig58                intel-sc3-32c            4                   32                  huge                EPSOC         EPSOC              8              6000          10              1000               300            (14,14)           100          0.5                [0.5:0.04:0.78]   100000          1               10.0                 .false.              1,1
    L12BCOig58                intel-sc3-32c            4                   32                  huge                EPSOC         EPSOC              8              8000          10              1000               400            (12,12)           96          0.5                [0.5:0.04:0.78]    100000          1               10.0                  .false.             1,1
    L10BCOig58                intel-sc3-32c            2                   32                  huge                EPSOC         EPSOC              8              10000        16             1000               600            (10,10)           88          0.5                [0.5:0.04:0.78]       100000          1               10.0                  .false.             1,1
    L8BCOig58                 intel-sc3-32c            2                   32                  huge                EPSOC         EPSOC              8              20000        30             1000               500            (8,8)           80          0.5                 [0.5:0.04:0.78]        100000          1              10.0                  .false.             1,1
    L6BCOig58                 intel-sc3-32c            2                   32                  huge                EPSOC         EPSOC              8              40000        60             1000               400            (6,6)           76          0.5                  [0.5:0.04:0.78]       100000            1            10.0                    .false.             1,1
